epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,916.183,0.94106,0.46423,0.92433,0.99718,0.98963,0.99454,0.70276,1.11938,0.44958,0.93976,0.000990365,0.000990365,0.000990365
43,937.55,0.9265,0.45881,0.91848,0.99459,0.99019,0.99382,0.72426,1.01439,0.40778,0.91946,0.000973861,0.000973861,0.000973861
44,959.481,0.92582,0.45638,0.92456,0.99133,0.99125,0.99084,0.72133,1.04704,0.41292,0.92617,0.000957358,0.000957358,0.000957358
45,980.932,0.9121,0.45161,0.91349,0.99431,0.99078,0.99471,0.71999,1.04892,0.42688,0.92322,0.000940855,0.000940855,0.000940855
46,1002.33,0.92092,0.45067,0.91863,0.99585,0.98988,0.99407,0.72486,1.01062,0.40392,0.91934,0.000924352,0.000924352,0.000924352
47,1023.85,0.91253,0.44746,0.91731,0.99349,0.99375,0.99472,0.71767,1.0429,0.42001,0.92867,0.000907848,0.000907848,0.000907848
48,1045.42,0.92876,0.45412,0.92129,0.99356,0.98875,0.99348,0.73088,1.01885,0.41456,0.91984,0.000891345,0.000891345,0.000891345
49,1066.71,0.9107,0.44545,0.91574,0.99485,0.99375,0.99473,0.72077,1.06895,0.41243,0.93481,0.000874842,0.000874842,0.000874842
50,1088.39,0.90229,0.44251,0.91289,0.99664,0.99625,0.99459,0.72074,1.06138,0.40814,0.92946,0.000858338,0.000858338,0.000858338
51,1110.08,0.9087,0.44258,0.91627,0.99771,0.99444,0.99484,0.71645,1.06676,0.41454,0.93414,0.000841835,0.000841835,0.000841835
52,1131.46,0.91189,0.44552,0.91869,0.99297,0.99189,0.99454,0.7153,1.03603,0.40894,0.9205,0.000825332,0.000825332,0.000825332
53,1152.98,0.90166,0.44191,0.91234,0.99383,0.99,0.99348,0.73247,1.01397,0.41214,0.92062,0.000808828,0.000808828,0.000808828
54,1174.44,0.90104,0.43795,0.91615,0.99678,0.99625,0.99499,0.70956,1.09715,0.42118,0.93816,0.000792325,0.000792325,0.000792325
55,1195.88,0.89917,0.43524,0.91085,0.99588,0.99625,0.9949,0.72918,1.03255,0.40136,0.92218,0.000775822,0.000775822,0.000775822
